 EQUATION NUMBER
 ---------------------
     node   dof    eqn
      2      1      1
      2      2      2
      3      1      3
      3      2      4
      4      1      5
      4      2      6
      5      1      7
      5      2      8
      6      1      9
      6      2     10
      7      1     11
      7      2     12
      8      1     13
      8      2     14
      9      1     15
      9      2     16
     10      1     17
     10      2     18
     11      1     19
     11      2     20
     13      1     21
     13      2     22
     14      1     23
     14      2     24
     15      1     25
     15      2     26
     16      1     27
     16      2     28
     17      1     29
     17      2     30
     18      1     31
     18      2     32
     19      1     33
     19      2     34
     20      1     35
     20      2     36
     21      1     37
     21      2     38
     22      1     39
     22      2     40
     24      1     41
     24      2     42
     25      1     43
     25      2     44
     26      1     45
     26      2     46
     27      1     47
     27      2     48
     28      1     49
     28      2     50
     29      1     51
     29      2     52
     30      1     53
     30      2     54
     31      1     55
     31      2     56
     32      1     57
     32      2     58
     33      1     59
     33      2     60
     35      1     61
     35      2     62
     36      1     63
     36      2     64
     37      1     65
     37      2     66
     38      1     67
     38      2     68
     39      1     69
     39      2     70
     40      1     71
     40      2     72
     41      1     73
     41      2     74
     42      1     75
     42      2     76
     43      1     77
     43      2     78
     44      1     79
     44      2     80
     46      1     81
     46      2     82
     47      1     83
     47      2     84
     48      1     85
     48      2     86
     49      1     87
     49      2     88
     50      1     89
     50      2     90
     51      1     91
     51      2     92
     52      1     93
     52      2     94
     53      1     95
     53      2     96
     54      1     97
     54      2     98
     55      1     99
     55      2    100
     57      1    101
     57      2    102
     58      1    103
     58      2    104
     59      1    105
     59      2    106
     60      1    107
     60      2    108
     61      1    109
     61      2    110
     62      1    111
     62      2    112
     63      1    113
     63      2    114
     64      1    115
     64      2    116
     65      1    117
     65      2    118
     66      1    119
     66      2    120
     68      1    121
     68      2    122
     69      1    123
     69      2    124
     70      1    125
     70      2    126
     71      1    127
     71      2    128
     72      1    129
     72      2    130
     73      1    131
     73      2    132
     74      1    133
     74      2    134
     75      1    135
     75      2    136
     76      1    137
     76      2    138
     77      1    139
     77      2    140
     79      1    141
     79      2    142
     80      1    143
     80      2    144
     81      1    145
     81      2    146
     82      1    147
     82      2    148
     83      1    149
     83      2    150
     84      1    151
     84      2    152
     85      1    153
     85      2    154
     86      1    155
     86      2    156
     87      1    157
     87      2    158
     88      1    159
     88      2    160
     90      1    161
     90      2    162
     91      1    163
     91      2    164
     92      1    165
     92      2    166
     93      1    167
     93      2    168
     94      1    169
     94      2    170
     95      1    171
     95      2    172
     96      1    173
     96      2    174
     97      1    175
     97      2    176
     98      1    177
     98      2    178
     99      1    179
     99      2    180
    101      1    181
    101      2    182
    102      1    183
    102      2    184
    103      1    185
    103      2    186
    104      1    187
    104      2    188
    105      1    189
    105      2    190
    106      1    191
    106      2    192
    107      1    193
    107      2    194
    108      1    195
    108      2    196
    109      1    197
    109      2    198
    110      1    199
    110      2    200
    112      1    201
    112      2    202
    113      1    203
    113      2    204
    114      1    205
    114      2    206
    115      1    207
    115      2    208
    116      1    209
    116      2    210
    117      1    211
    117      2    212
    118      1    213
    118      2    214
    119      1    215
    119      2    216
    120      1    217
    120      2    218
    121      1    219
    121      2    220
 
 REQUIRED MEMORY =  0.378160E-01 MB
 
 STRAIN ENERGY =   0.444774E-07
 
 DISPLACEMENT 
 ------------------------------
   Node      Dx         Dy     
    1    0.000E+00  0.000E+00
    2   -2.198E-08 -2.048E-08
    3   -3.550E-08 -3.921E-08
    4   -4.465E-08 -5.817E-08
    5   -5.095E-08 -7.676E-08
    6   -5.510E-08 -9.480E-08
    7   -5.755E-08 -1.120E-07
    8   -5.872E-08 -1.283E-07
    9   -5.906E-08 -1.433E-07
   10   -5.902E-08 -1.573E-07
   11   -5.900E-08 -1.706E-07
   12    0.000E+00  0.000E+00
   13   -1.031E-08 -1.643E-08
   14   -2.074E-08 -3.630E-08
   15   -2.888E-08 -5.586E-08
   16   -3.493E-08 -7.506E-08
   17   -3.926E-08 -9.361E-08
   18   -4.218E-08 -1.113E-07
   19   -4.402E-08 -1.278E-07
   20   -4.505E-08 -1.431E-07
   21   -4.555E-08 -1.571E-07
   22   -4.580E-08 -1.703E-07
   23    0.000E+00  0.000E+00
   24   -6.258E-09 -1.570E-08
   25   -1.238E-08 -3.430E-08
   26   -1.817E-08 -5.391E-08
   27   -2.295E-08 -7.335E-08
   28   -2.663E-08 -9.222E-08
   29   -2.930E-08 -1.102E-07
   30   -3.112E-08 -1.270E-07
   31   -3.223E-08 -1.425E-07
   32   -3.282E-08 -1.565E-07
   33   -3.317E-08 -1.693E-07
   34    0.000E+00  0.000E+00
   35   -3.645E-09 -1.567E-08
   36   -7.235E-09 -3.355E-08
   37   -1.072E-08 -5.267E-08
   38   -1.386E-08 -7.206E-08
   39   -1.643E-08 -9.106E-08
   40   -1.839E-08 -1.092E-07
   41   -1.977E-08 -1.262E-07
   42   -2.064E-08 -1.419E-07
   43   -2.112E-08 -1.559E-07
   44   -2.143E-08 -1.682E-07
   45    0.000E+00  0.000E+00
   46   -1.700E-09 -1.574E-08
   47   -3.360E-09 -3.329E-08
   48   -5.000E-09 -5.207E-08
   49   -6.524E-09 -7.131E-08
   50   -7.828E-09 -9.032E-08
   51   -8.850E-09 -1.086E-07
   52   -9.581E-09 -1.257E-07
   53   -1.005E-08 -1.414E-07
   54   -1.031E-08 -1.555E-07
   55   -1.049E-08 -1.674E-07
   56    0.000E+00  0.000E+00
   57    1.013E-23 -1.578E-08
   58    2.368E-23 -3.323E-08
   59    3.929E-23 -5.189E-08
   60    3.991E-23 -7.107E-08
   61    4.343E-23 -9.007E-08
   62    4.053E-23 -1.084E-07
   63    3.019E-23 -1.255E-07
